COUNTY,ROUTE,SEGMENT,DATA_YEAR,TOTAL_CRASH,FATAL,FATAL_MAJ,INJURY,FATAL_INJ,PDO,LENGTH_MI_YR,LENGTH_FT_YR,AADT,BEG_MP,END_MP,TravelWayWidth,LANES,SPEED,LeftShldPave,RtshldPave,COUNTY_NAME,RHR,PASS_ZONE,CL_RS,SH_RS,ACCESS_PTS,NO_INTS,NO_CURVES,AVG_D,AccessDensity
3,28,330,2009,0,0,0,0,0,0,0.320075758,1690,5789,14.30890152,14.62897727,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,13,0,1,3.287706451,40.61538462
3,28,330,2010,3,0,0,2,2,1,0.320075758,1690,5789,14.30890152,14.62897727,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,13,0,1,3.287706451,40.61538462
3,28,330,2011,1,0,0,1,1,0,0.320075758,1690,5789,14.30890152,14.62897727,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,13,0,1,3.287706451,40.61538462
3,28,330,2012,1,0,0,1,1,0,0.320075758,1690,5789,14.30890152,14.62897727,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,13,0,1,3.287706451,40.61538462
3,28,340,2005,1,0,0,1,1,0,0.58655303,3097,6732,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.22925412
3,28,340,2006,1,0,0,0,0,1,0.58655303,3097,6833,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.22925412
3,28,340,2007,2,0,0,2,2,0,0.58655303,3097,6892,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.22925412
3,28,340,2008,1,0,0,0,0,1,0.58655303,3097,5789,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.22925412
3,28,340,2009,0,0,0,0,0,0,0.576325758,3043,5789,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.41077884
3,28,340,2010,1,0,0,1,1,0,0.576325758,3043,5789,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.41077884
3,28,340,2011,3,0,0,1,1,2,0.576325758,3043,5789,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.41077884
3,28,340,2012,0,0,0,0,0,0,0.576325758,3043,5789,14.62897727,15.20530303,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,3,3.418790772,10.41077884
3,28,350,2005,1,0,0,0,0,1,0.676704545,3573,6732,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.29974811
3,28,350,2006,1,0,0,1,1,0,0.676704545,3573,6833,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.29974811
3,28,350,2007,1,0,0,0,0,1,0.676704545,3573,6892,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.29974811
